app,target,scope,current_role,audit_depth,priority,included_in_this_pack,recommended_next_patch,evidence_privacy_rule,acceptance_gate
Data Manager Studio,Data_Manager_Studio.html,new local app,"Cross-suite cohorts, evidence, coverage, review and exports",implemented and browser-tested,P0,"New app, schema, templates, shared bridge","After review, split modules only if maintainability warrants it; preserve zero-build deployment",Personal data stays local; backup is not encrypted; no automatic award decisions,18-check Chromium smoke; backup/restore; mobile; no console errors
UAS Register,https://madebymatt.uk/uas/,external integration,AQA UAS register outside this repository,catalogue/external boundary review,P1,AQA UAS workflow profile and context fields,Define a documented import/export contract rather than duplicate the live register,Official AQA unit/outcome wording and summary-sheet process remain authoritative,Contract fixture; no duplicate learner IDs; no claim/certification language
ASDAN Register,https://madebymatt.uk/asdan/,external integration,ASDAN register outside this repository,catalogue/external boundary review,P1,ASDAN Short Course and PEQ workflow profiles,Define versioned hand-off records for challenge/criterion references and centre review status,Do not equate evidence count with criterion achievement or EQA outcome,Contract tests against current register export; centre-version field required
Evidence Binder,Evidence_Binder.html,local teacher app,Photo/file evidence tagged to unit outcomes and PDF/ZIP export,deep source audit,P0,"Stable outcome-ID guard, linked-unit deletion guard, shared teacher context",Add an explicit migration/export path into Data Manager v2; retain Binder as a lightweight portfolio view,Never silently orphan evidence; warn that backups contain personal data,Reorder outcomes without remapping; linked deletions blocked; legacy backup still restores
Classroom Toolkit,Classroom_Toolkit.html,local teacher app,"Name picker, timer, groups and noise display",deep source audit,P0,Shared cohort roster adapter and context launcher,"Add named classroom presets, timer phases and optional group constraints without behaviour scoring",Microphone is visual-only and unrecorded; roster sharing is explicit,Roster import preserves names; no mic recording; keyboard and touch regression
Seating Plan Studio,Seating_Studio.html,local teacher app,Drag-and-drop seating plan with keep-apart pairs and PNG export,deep source audit,P0,Shared cohort roster adapter and context launcher,Replace name identity with roster IDs; support multiple named plans and archive; keep sensitive notes out of pupil display,Keep-apart information is staff-only; exports must avoid hidden notes,Rename learner without losing seat; multiple plans; print/mobile/keyboard checks
Rubric & Feedback Studio,Rubric_Studio.html,local teacher app,Weighted rubric marking and generated feedback,deep source audit,P0,Shared roster adapter and assessment-draft hand-off,"Add rubric version, criterion code/source, moderation status and non-destructive archive",Generated feedback is a draft; staff decision and current criterion wording remain explicit,Reordering criteria preserves marks by stable ID; hand-off never marks achieved automatically
Exit Ticket & Quick Marks,Exit_Ticket.html,local teacher app,Anonymous aggregate formative check and PNG snapshot,deep source audit,P0,Anonymous class-check hand-off and lesson context,"Add planned teaching response, lesson ID and comparison of repeated checks; do not add pupil identity by default","Aggregate checks are formative class data, not individual evidence",No names stored; totals/percentages correct; snapshot and hand-off agree
Whiteboard,Whiteboard.html,local teacher app,Browser drawing and annotation surface,source inventory/targeted integration review,P1,Teacher context launcher,"Add labelled pages, text alternative, snapshot-to-evidence draft and safe clear/undo history",Board exports may contain learner data; explicit classification before hand-off,"Canvas export, keyboard tools, high-DPI and hand-off metadata tests"
ChoreoStudio,ChoreoStudio.html,local teacher app,Movement/sightline planning and printable drill card,source inventory/targeted integration review,P1,Teacher context launcher,"Add lesson/drill ID, sequence-version history and optional shared roster IDs",Avoid turning movement plans into behavioural logs,"Print card, animation reduced-motion, roster opt-in and version restore"
Craft Studio,Craft_Studio.html,local learner app,Code a robot through a block world,catalogue-level review,P2,Roadmap only,"Add lesson challenge IDs, autosave slots, exportable code/attempt reflection and teacher review hand-off",Completion is learning evidence only after staff review; avoid leaderboard pressure,"Level reset, keyboard/touch, saved code migration and reduced-motion tests"
Web Studio,Web_Studio.html,local learner app,Build HTML/CSS with live preview and export,catalogue-level review,P1,Roadmap only,"Add version snapshots, lesson brief panel, artifact evidence draft and clearer safe-preview diagnostics",Never execute unsafe scripts; exported work remains learner-controlled,Sanitisation positive controls; offline export; autosave recovery; accessibility scan
Animation Studio,Animation_Studio.html,local learner app,"Stop-motion capture, onion skin and WebM export",catalogue-level review,P1,Roadmap only,"Add project/lesson metadata, frame contact sheet, process reflection and evidence-bundle export",Camera media remains local until explicit export,Camera denial recovery; frame persistence; export; storage quota; reduced motion
Video Studio,Video_Studio.html,local learner app,Timeline video editing with titles/audio,catalogue-level review,P2,Roadmap only,"Add project brief, caption/transcript track, proxy/storage warnings and evidence metadata sidecar",Media files and voices are personal data; no automatic upload,Large-file recovery; captions; export compatibility; storage quota warning
Audio Studio,Audio_Studio.html,local learner/teacher app,"Record, edit and trim audio",catalogue-level review,P2,Roadmap only,"Add transcript/notes, named takes, evidence sidecar and clearer microphone state",Audio is never evidence by default; consent/centre policy applies,"Permission denial, stop-all-tracks, export, no background capture"
Music Studio,Music_Studio.html,local learner app,Five-track browser groove box and WAV export,catalogue-level review,P2,Roadmap only,"Add lesson composition brief, named versions, reflection prompt and MIDI-like event sidecar",Creative output remains local; hand-off is an unassessed draft,Audio context resume; deterministic save/load; WAV export; keyboard access
Art Studio,Art_Studio.html,local learner app,Layered drawing with symmetry and stamps,catalogue-level review,P1,Roadmap only,"Add Teesside lesson template loader, process snapshots, artist-intent/reflection and evidence bundle",Do not replace original artwork when creating snapshots,Layer/history recovery; stylus/touch; export dimensions; colour-independent controls
Design Studio,Design_Studio.html,local learner app,"Posters, certificates and layouts",catalogue-level review,P1,Roadmap only,"Add lesson briefs, print-safe presets, accessible reading-order check and process evidence export",Avoid embedding unnecessary learner identifiers in public designs,Print/PDF fidelity; keyboard movement; reading order; export recovery
Photo Studio,Photo_Studio.html,local learner app,"Photo composition, masks, filters and cut-outs",catalogue-level review,P1,Roadmap only,"Add original/edited comparison, consent reminder, process notes and non-destructive project versions",Photos may identify learners; classification and approved storage are required,Original preserved; metadata stripped/preserved by policy; export and memory tests
